record_type	disposition	artifact	sha256_or_set_sha256	path_count	firelock_entry_sessions	startlock_sessions	active_iterator_sessions	remove_sessions	add_stamp_sessions	duplicate_free_sessions	verdict	notes
CALL_CONTEXT_A	REUSED	local-lab/ttd-call-context-level521-target-lock-20260803-v3/run-a/call-context.jsonl	05d45bd7d0dcfb7b4e647efcc532c5171dd1164dd7059f7891b955aed6e135ce	1							PASS	14 gap-free FireLock call/entry/return envelopes from callsite 0x005074c9; six non-null then eight null; StartLock zero; one gameplay trace
CALL_CONTEXT_B	REUSED	local-lab/ttd-call-context-level521-target-lock-20260803-v3/run-b/call-context.jsonl	c496431e684e3b565bc37354c2244f9f019d9093fdd4dfa3d5da0065dcab51ef	1							PASS	deterministic replica of the same 14-envelope gameplay trace, not independent gameplay
FIRELOCK_WRITES_A	REUSED	local-lab/ttd-data-writes-level521-lock-state-20260803-v1/run-first-firelock-replica-a/data-writes.jsonl	2f8941ecff8bcc1070148256dd27c3979783c4f9961263c4ff407e146b9a3b2b	1							SUPERSEDED_FOR_PROMOTION	positive callback chronology only; endpoint and zero-write claims are not imported
FIRELOCK_WRITES_B	REUSED	local-lab/ttd-data-writes-level521-lock-state-20260803-v1/run-first-firelock-replica-b/data-writes.jsonl	9c87ffed902dbf173afe5d2cd477e2ecfb8fc21d103f2874b2d86c7286059ef3	1							SUPERSEDED_FOR_PROMOTION	deterministic replay of the same event; positive chronology only; no endpoint or zero-write promotion
COVERAGE_ROLLUP	HISTORICAL_REPRODUCED	81 existing execution-coverage files	1df43b51b428da9f11a9e2acdb16ca3241431e92cec631e0a24bfd0b2822b765	81	3	0	1	0	0	0	RED_C1_PRESERVED	HISTORICAL_RANGE_CENSUS_REPRODUCED; 69 selected receipts are strict-valid and 12 exact legacy inputs are rejected by the current indexer
COVERAGE_TAKE1	REUSED	G:/bea-ttd/q-level521-native-20260802-0018-take/level521-native-20260802-0018-take1/coverage.jsonl	e7e966ef592a9f9e5771d34e75bc4d7eb4a501fd6e2ab0f65a5df4dd266fefaa	1	1	0	0	0	0	0	NULL_PATH_ONLY	historical Windows provenance; entry, null-test branch, and shared return
COVERAGE_TAKE2	REUSED	G:/bea-ttd/q-level521-native-20260802-0018-take/level521-native-20260802-0018-take2/coverage.jsonl	4da8c41fae2a6ca768769646e152a40947db3d4bf3a393b03a2f727d4788c3a4	1	1	0	0	0	0	0	NULL_PATH_ONLY	historical Windows provenance; entry, null-test branch, and shared return
COVERAGE_TAKE4	REUSED	G:/bea-ttd/q-level521-native-20260802-0018-take/level521-native-20260802-0018-take4/coverage.jsonl	26d0db3700590167abb26328520beecfdb145562fb9113bf46a48811d5b2ba66	1	1	0	1	0	0	0	ITERATOR_PATH_ONLY	historical Windows provenance; reaches iterator store and misses compare and transfer arms; coverage alone does not prove the container memory value
FUNCTION_NOTE	EXTENDED	reverse-engineering/binary-analysis/functions/BattleEngine.cpp/CBattleEngine__FireLock.md	304d0366a1748381ae2d93c4777cbc237ea58e088cd9d7abf9890bd1492dcf0e	1							RED_RECORDED	preimage SHA-256 1cdf128708a703eed3a8248aba176d1227ed80b66e695cda1db1414257b36088
REFUTER_RECEIPT	EXTENDED	reverse-engineering/binary-analysis/functions/BattleEngine.cpp/CBattleEngine__FireLock__runtime-refuter-2026-08-23.tsv	SELF	1							RED_RECORDED	final TSV hash is recorded externally to avoid a recursive self-pin
OUTCOME	REVALIDATED	CBattleEngine__FireLock 0x00407060 branch refuter	1df43b51b428da9f11a9e2acdb16ca3241431e92cec631e0a24bfd0b2822b765	1	3	0	1	0	0	0	RED_C1_PRESERVED	historical census reproduced; current strict validation independently supports the same negative boundary; extant C1 authority is unchanged
CURRENT_INDEXER	REVALIDATED	tools/ttd_coverage_index.py@8256def3304f47400ffb9ce8ffc1f585023ce885	23b7c9ab05c93eeb406d99f3f6dafc0f8a4696500e97218eacf873ade922a8a2	1							PASS	Git blob d01682cf3ab72f3cfe82a92ae96005d9d9e31e5c; introduced after the candidate by 8d2b72a6b1e2cfba5cc47701f3f021bc6d4cab91
CURRENT_CONTRACT_COVERAGE	REVALIDATED	reverse-engineering/contract-schema/coverage.json@8256def3304f47400ffb9ce8ffc1f585023ce885	f3b32d951c54d46d6c75a879aa35a63d7b4d082c4497e1fd0d5a8fe6f2148657	1							BLOCKED	FireLock current generated consumer has only NOTE_MEASURED
CURRENT_CAMPAIGN_66	REVALIDATED	historical logical campaign coverage root	4570f7ee938519373619e6a6b0e5f82c688814c37f6f26ed21b30144d6aca581	66	0	0	0	0	0	0	PASS_CURRENT_TOOL	portable receipt-set identity; Linux-root-bound index content 7c560044fd19a7d9f36421884727f4727f0d18d4524ec12cb88267e308e1b8f8
CURRENT_LEVEL521_3	REVALIDATED	historical logical Level 521 coverage root	6e9e3b4a899e5405bdd68bfa2c71d589a844f3c62de0a1f11badbc729e0e098d	3	3	0	1	0	0	0	RED_C1_PRESERVED	portable receipt-set identity; Linux-root-bound index content 85ec09f11aa4cbad29b6ca36c72d7f497a642eac959dbae62c10667db48544af
CURRENT_ARCHIVE_72	REVALIDATED	Archive B retained coverage corpus	926b6ec66befc8e0060d49efc6c00d485ab6a6ed563b55c79d86bf829b7d5c39	72	3	0	1	0	0	0	RED_C1_PRESERVED	803629 union-covered bytes; Linux-root-bound index content d57d872c6f265539839697f6894dab390152e4ec03975660d83f16459740d454
CURRENT_QUERY	REVALIDATED	expanded FireLock 14-PC query with ApplyDamage/BSS controls	9caa1e2074fdbd590ed86e7f1e6e9e24f22bdda0167b7a1f4356a6fd66f9e96c	14	3	0	1	0	0	0	PASS_RED	ApplyDamage must-hit 21 traces; current-time BSS must-miss zero traces
CURRENT_LOCAL_LEGACY_12	HISTORICAL_EXACT_CURRENT_REJECTED	logical local-lab coverage subset	938bdc9237f7d853e7c221c85249349b82cc2c45d13a4c272e224db113adfe51	12							REJECTED_BY_CURRENT_INDEXER	five unsupported complete-Position terminal receipts, two failed-assertion receipts, and five missing counters_quarantined; no current coverage claim
