id	severity	domain	file	issue	evidence_refs	owner	finding_class
FX-023	MEDIUM	companion-tools	tools/; reverse-engineering/game-assets/modding-reference.md	Cardid and extra-graphics scope is doc-only with no integrated tooling lane	subagents/depth2/lane06_binary_patch_gap_findings.md:63-75; subagents/depth2/lane06_binary_patch_gap_findings.md:120	main-agent	alignment
FX-024	MEDIUM	docs	reverse-engineering/binary-analysis/functions/CLIParams.cpp/_index.md; reverse-engineering/binary-analysis/windowed-mode-analysis.md	Guard-default narrative is contradictory across docs	subagents/depth2/lane06_binary_patch_gap_findings.md:89-97	main-agent	alignment
FX-025	MEDIUM	tests-binary-patch	patches/patch_display_mode_flow.py; tests_pyqt; OnslaughtCareerEditor.UiTests	Patch script mode coverage and C# patch coverage are incomplete	subagents/depth2/lane06_binary_patch_gap_findings.md:98-107; subagents/depth2/lane08_test_gap_priorities.md:20	main-agent	gap
FX-026	MEDIUM	tests-config	tests_pyqt/test_config_commands_unittest.py; OnslaughtCareerEditor.UiTests	Config command and migration behavior lacks direct automated parity tests	subagents/depth2/lane08_test_gap_priorities.md:21	main-agent	gap
FX-027	MEDIUM	tests-keybind	tests_pyqt/test_keybind_overrides_unittest.py; OnslaughtCareerEditor.UiTests	Keybind parser end-to-end matrix coverage is insufficient	subagents/depth2/lane08_test_gap_priorities.md:22	main-agent	alignment
FX-028	MEDIUM	tests-gui	OnslaughtCareerEditor.UiTests; tests_pyqt	GUI smoke tests only verify tab labels and miss action-level regressions	subagents/depth2/lane08_test_gap_priorities.md:23; subagents/depth2/lane04_gui_parity_validation.md:27-29	main-agent	alignment
FX-029	MEDIUM	tests-reporting	OnslaughtCareerEditor.UiTests; tests_pyqt	Analyze and compare output structure contracts are not regression-tested	subagents/depth2/lane08_test_gap_priorities.md:24	main-agent	alignment
FX-030	MEDIUM	tests-docs	tests_pyqt/test_docs_parity_unittest.py	No automated lint for roadmap and validation-checklist contradiction drift	subagents/depth2/lane08_test_gap_priorities.md:25-26	main-agent	contradiction
FX-031	MEDIUM	release-policy	AGENTS.md; roadmap/; release runbook script (new)	Public include and exclude policy is not codified as enforceable release profile	subagents/depth2/lane07_release_risk_classification.md:11-19; subagents/depth2/lane07_release_risk_classification.md:55-74	main-agent	alignment
FX-032	MEDIUM	release-policy	release packaging script or runbook (new)	High-risk families can leak into public snapshots without automated denylist enforcement	subagents/depth2/lane07_release_risk_classification.md:75-96; subagents/depth2/lane07_release_risk_classification.md:128-134	main-agent	alignment
FX-033	MEDIUM	modernization-stability	reverse-engineering/binary-analysis/display-modernization-plan.md; wrapper integration docs and scripts	Modernization path lacks explicit defaultoptions drift detection despite known rewrite side effects	subagents/depth2/lane10_modernization_feasibility_findings.md:50-52; subagents/depth2/lane10_modernization_feasibility_findings.md:86-92	main-agent	contradiction
FX-034	MEDIUM	modernization-testing	modernization runbook and validation checklist	No fixed GPU or driver compatibility matrix exists for staged modernization rollout	subagents/depth2/lane10_modernization_feasibility_findings.md:116-117	main-agent	alignment
FX-035	LOW	lore-mirror	lore/_index.md; lore-book/lore/_index.md	Mirror path normalization differences produce parity noise alerts	subagents/depth2/lane02_lore_mirror_contradictions.md:16-23	main-agent	alignment
FX-036	LOW	cli-output	Program.cs; patcher.py	Invalid typed numeric argument errors surface at different validation stages	subagents/depth2/lane05_cli_parity_validation.md:46-50	main-agent	alignment
FX-037	LOW	cli-output	Program.cs; patcher.py	Failure stdout shape differs for copy-options conflict	subagents/depth2/lane05_cli_parity_validation.md:52-54	main-agent	contradiction
FX-038	LOW	cli-output	Program.cs; patcher.py	Analyze and compare output wording differs even when semantics match	subagents/depth2/lane05_cli_parity_validation.md:56-58	main-agent	alignment
FX-039	LOW	cli-output	AppConfig.cs; onslaught/core/config.py; Program.cs; patcher.py	Show-config output varies by runtime roots and can be misread as parity break	subagents/depth2/lane05_cli_parity_validation.md:60-62	main-agent	alignment
FX-040	LOW	modernization-doc	reverse-engineering/binary-analysis/display-modernization-plan.md	D3D8 to D3D9 pilot wording is likely stale for current D3D9 retail binary	subagents/depth2/lane10_modernization_feasibility_findings.md:36-38	main-agent	contradiction
