source_file	source_line	function	signature	source_owner	source_citation	target_branch	source_algorithm	source_fields_constants	source_side_effects	retail_classification	retail_va_or_empty	retail_name_or_empty	retail_evidence	retail_falsifier	rebuild_disposition	input_readiness	stable_key
Array.h	65	CSArray::operator[]	& operator [] (int item)	CSArray	references/Onslaught/Array.h:65	!_DEBUG	Return a reference to embedded mItems[item] without bounds validation.	mItems[size]; item	Exposes mutable embedded element storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:65:CSArray::operator[]:& operator [] (int item)
Array.h	78	COSet::COSet	COSet(int initial_size = 1)	COSet	references/Onslaught/Array.h:78	all COSet builds	Construct the CArray base with initial_size and set the live entry count to zero.	initial_size default 1; mEntries=0	Allocates base storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:78:COSet::COSet:COSet(int initial_size = 1)
Array.h	79	COSet::operator=	& operator =(COSet<T>& copy)	COSet	references/Onslaught/Array.h:79	all COSet builds	Resize to the source capacity when needed, copy base elements, then copy entry and iterator state.	mSize; mEntries; mIterator	May reallocate and overwrites collection and iterator state.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	Array.h:79:COSet::operator=:& operator =(COSet<T>& copy)
Array.h	80	COSet::Add	Add(const T& item)	COSet	references/Onslaught/Array.h:80	all COSet builds	Increment live entries, grow capacity to twice the new count when full, store item at the new tail, and return its index.	mEntries; mSize; growth=mEntries*2	May reallocate; appends one element.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:80:COSet::Add:Add(const T& item)
Array.h	81	COSet::First	* First()	COSet	references/Onslaught/Array.h:81	all COSet builds	Reset iterator to zero and return the first element address, or null when empty.	mIterator=0; mEntries	Mutates iterator state.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:81:COSet::First:* First()
Array.h	82	COSet::Next	* Next()	COSet	references/Onslaught/Array.h:82	all COSet builds	Advance iterator and return that element address, or null at the end.	mIterator; mEntries	Mutates iterator state.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:82:COSet::Next:* Next()
Array.h	83	COSet::Finalise	Finalise()	COSet	references/Onslaught/Array.h:83	all COSet builds	Resize backing capacity to the live entry count.	mEntries	May reallocate and trims spare capacity.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:83:COSet::Finalise:Finalise()
Array.h	84	COSet::Size	Size()	COSet	references/Onslaught/Array.h:84	all COSet builds	Return the live entry count rather than backing capacity.	mEntries	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	USE_MANAGED_COLLECTION; preserve count/order/unchecked-access law only when observable	SOURCE_ONLY_BOUNDED_NO_MATCH	Array.h:84:COSet::Size:Size()
chunker.h	30	CChunker::WhereAmI	WhereAmI()	CChunker	references/Onslaught/chunker.h:30	all targets through selected CMEMBUFFER	Return the writer's logical byte position.	Position	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	FUTURE_SOURCE_FIRST_CHUNK_WRITER only with a concrete consumer	SOURCE_ONLY_BOUNDED_NO_MATCH	chunker.h:30:CChunker::WhereAmI:WhereAmI()
chunker.h	48	CChunkReader::GetSize	GetSize()	CChunkReader	references/Onslaught/chunker.h:48	all targets through selected CMEMBUFFER	Return the current chunk payload size.	Size	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	ALREADY_PORTED_READ_SIDE in RetailChunkReader/RetailMemBuffer	SOURCE_ONLY_BOUNDED_NO_MATCH	chunker.h:48:CChunkReader::GetSize:GetSize()
chunker.h	50	CChunkReader::GetMemBuffer	*GetMemBuffer()	CChunkReader	references/Onslaught/chunker.h:50	all targets through selected CMEMBUFFER	Return the current concrete memory-buffer pointer.	File	Exposes the owned or adopted buffer reference.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	REPRESENTED_BY_RESIDENT_BUFFER_STATE; no duplicate owner	SOURCE_ONLY_BOUNDED_NO_MATCH	chunker.h:50:CChunkReader::GetMemBuffer:*GetMemBuffer()
CLIParams.h	8	CCLIParams::~dtor	~CCLIParams()	CCLIParams	references/Onslaught/CLIParams.h:8	all targets	Empty inline destructor.	none	None at source level; compiler emission is unresolved.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	NO_MANAGED_RUNTIME_BEHAVIOR	EXTERNAL_PROOF_REQUIRED	CLIParams.h:8:CCLIParams::~dtor:~CCLIParams()
DXMemBuffer.h	41	CDXMemBuffer::IsMoreData	IsMoreData()	CDXMemBuffer	references/Onslaught/DXMemBuffer.h:41	_DIRECTX	Assert read mode, then report whether the current pointer precedes the end of buffered data.	mReading; mPtr; mData; mDataSize	Debug builds may assert; otherwise none.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	REPRESENTED_BY_RESIDENT_BUFFER_STATE; no duplicate owner	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemBuffer.h:41:CDXMemBuffer::IsMoreData:IsMoreData()
DXMemBuffer.h	45	CDXMemBuffer::GetData	*GetData()	CDXMemBuffer	references/Onslaught/DXMemBuffer.h:45	_DIRECTX	Return the backing data pointer.	mData	Exposes mutable backing storage.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	DO_NOT_EXPOSE_RAW_POINTER; keep managed buffer encapsulated	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemBuffer.h:45:CDXMemBuffer::GetData:*GetData()
DXMemBuffer.h	51	CDXMemBuffer::WhereAmI	WhereAmI()	CDXMemBuffer	references/Onslaught/DXMemBuffer.h:51	_DIRECTX	Return the logical stream position.	mPos	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	ALREADY_PORTED_READ_SIDE in RetailChunkReader/RetailMemBuffer	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemBuffer.h:51:CDXMemBuffer::WhereAmI:WhereAmI()
DXMemoryManager.cpp	65	CDXMemoryManager::Init	CDXMemoryManager::Init(UINT aSize, UINT aTexDataSize, UINT aVBDataSize)	CDXMemoryManager	references/Onslaught/DXMemoryManager.cpp:65	TARGET != PC three-argument DirectX branch	Initialize default, dump, sound, and optional thing heaps, then for Xbox add texture and vertex-buffer heaps and route their memory types.	aSize; aTexDataSize; aVBDataSize; 300*1024 tiny arena; heap routing table	Allocates heaps, changes global initialization state, and rewrites type-to-heap routing.	NOT_IN_RETAIL			reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.md	A pristine-PC body/callsite that selects this exact branch and signature.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	DXMemoryManager.cpp:65:CDXMemoryManager::Init:CDXMemoryManager::Init(UINT aSize, UINT aTexDataSize, UINT aVBDataSize)
DXMemoryManager.h	34	CDXMemoryManager::SetMerge	SetMerge( BOOL aMerge )	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:34	_DIRECTX	Forward merge policy to the default heap.	mDefaultHeap; aMerge	May trigger heap cleanup/sorting through SetMerge.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:34:CDXMemoryManager::SetMerge:SetMerge( BOOL aMerge )
DXMemoryManager.h	69	CDXMemoryManager::GetDefaultHeapSize	GetDefaultHeapSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:69	_DIRECTX	Return default-heap capacity.	mDefaultHeap.mSize	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:69:CDXMemoryManager::GetDefaultHeapSize:GetDefaultHeapSize()
DXMemoryManager.h	70	CDXMemoryManager::GetDefaultUsedSize	GetDefaultUsedSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:70	_DIRECTX	Return default-heap used bytes.	mDefaultHeap.mUsedSize	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:70:CDXMemoryManager::GetDefaultUsedSize:GetDefaultUsedSize()
DXMemoryManager.h	71	CDXMemoryManager::GetDefaultPeakSize	GetDefaultPeakSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:71	_DIRECTX	Return default-heap peak used bytes.	mDefaultHeap.mUsedMaxSize	None.	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv	A named retail entry with matching owner/alias, signature, target branch, ABI, and body/field behavior.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:71:CDXMemoryManager::GetDefaultPeakSize:GetDefaultPeakSize()
DXMemoryManager.h	73	CDXMemoryManager::GetTexDataHeapSize	GetTexDataHeapSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:73	TARGET == XBOX	Return texture-data heap capacity.	mTexDataHeap.mSize	None.	NOT_IN_RETAIL			reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.md	A pristine-PC body/callsite that selects this exact branch and signature.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:73:CDXMemoryManager::GetTexDataHeapSize:GetTexDataHeapSize()
DXMemoryManager.h	74	CDXMemoryManager::GetTexDataUsedSize	GetTexDataUsedSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:74	TARGET == XBOX	Return texture-data heap used bytes.	mTexDataHeap.mUsedSize	None.	NOT_IN_RETAIL			reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.md	A pristine-PC body/callsite that selects this exact branch and signature.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:74:CDXMemoryManager::GetTexDataUsedSize:GetTexDataUsedSize()
DXMemoryManager.h	75	CDXMemoryManager::GetTexDataPeakSize	GetTexDataPeakSize()	CDXMemoryManager	references/Onslaught/DXMemoryManager.h:75	TARGET == XBOX	Return texture-data heap peak used bytes.	mTexDataHeap.mUsedMaxSize	None.	NOT_IN_RETAIL			reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/pc-memory-io-semantics-2026-08-11.md	A pristine-PC body/callsite that selects this exact branch and signature.	DO_NOT_PORT_ALLOCATOR_TO_CORE; managed storage, optional client telemetry only	SOURCE_ONLY_BOUNDED_NO_MATCH	DXMemoryManager.h:75:CDXMemoryManager::GetTexDataPeakSize:GetTexDataPeakSize()
