registryIndex	command	handlerEntry	cohort	logicalArity	inputs	outputType	outputVtable	effects	ordering	edgeFailure	callGraphSummary	sourceAnchorIds	remainingUnknowns	cheapestFalsifier	grade	semanticGrade	tier2Name	identityScope	originalCppIdentity	commonCallableShape	commonThisTypeBoundary	priorSemanticRowSha256	refinementStatus	refinementFlags
52	SetAllSegmentsHealth	0x00535500	C_SEGMENTS	1	argv[0] float via slot 0x34. Requires target flag bit 0x10 and nonnull target+0x178 controller.	none	-	Walks indices [0,controller+0x08), skips null entries in the controller+0x04 pointer array, and writes the float to each nonnull segment+0x0C. It does not refresh controller+0x18 in the visible callee.	Wrapper gates; float decode; ascending indexed loop; conditional per-entry write.	Failed wrapper gates are silent. Negative/zero count performs no iterations. Array/count consistency is not checked.	VM float getter; 0x00535525 -> 0x00444580 SetAllSegmentsField0C.	-	Concrete +0x0C semantics, delayed metric behavior, malformed array policy, and original handler spelling.	Use a copied controller with nonnull/null/non-null entries and a distinct count; verify ascending writes, skipped nulls, and unchanged +0x18.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetAllSegmentsHealth	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	0a0a9dd5b345a0130818f514f414658e304fc5c12a3c04a27e0c0328cdc666a6	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
54	PlayAnimationWait	0x005351d0	F_ANIMATION_SPAWN	3	argv[0] animation string via slot 0x38; argv[1] and argv[2] bool-like low bytes via slot 0x3C. Uses target+0x30 render interface and context-owned wait set at +0x28/+0x38.	none	-	Prints a fatal if target+0x74 is null or differs from the receiver but continues. With a nonnull interface and mesh, removes/releases a prior wait item, resolves argv[0], calls target slot 60 as SetAnimMode(index,argv[1],argv[2]), allocates/copies a 0x228-byte wait item from globals, calls CSPtrSet AddToTail with that pointer, writes global 0x0089C800=1, and stores the pointer at receiver+0x38.	Ownership check/log; interface and mesh gates; prior item remove then release; string lookup; decode argv[2] then argv[1] but pass logical order index,arg1,arg2; animate; allocate/copy item or retain null; call AddToTail with that pointer; set global; store receiver pointer.	Ownership mismatch only logs and continues. Null interface or mesh returns before prior-item removal. On wait-item allocation failure, the wrapper calls AddToTail with null, sets the global, and stores null; AddToTail's consequence is not established here. Arity is unchecked.	Console; interface slot 9; CSPtrSet Remove; prior-item release slot 1; VM string and bool getters; CMesh lookup; target slot 60 SetAnimMode; allocator; CSPtrSet AddToTail.	SRC_THING_SET_ANIM_MODE	Wait-item concrete class/consumer, runtime consequence of calling AddToTail with null, exact fatal policy, and original handler spelling.	In a copied runtime, probe ownership match/mismatch, null interface/mesh, prior item present, and forced wait-item allocation failure while recording list size, +0x38, 0x0089C800, and animation arguments.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__PlayAnimationWait	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	0c17ab6d6320ebab96cb9107a698b519b7bdc2930826d6f90eb7633139712a68	CORRECTED_AUDIT_FINDING	NULL_ARGUMENT_TO_ADD_TO_TAIL;HELPER_EFFECT_OPEN
61	SetY	0x00534dc0	D_VECTOR_NUMERIC	2	argv[0] 16-byte vector via slot 0x44; argv[1] float via slot 0x34.	vector	0x005e4da4	Replaces only the second vector dword/component at offset +4 with argv[1], preserves component 0, component 2, and the fourth dword, and boxes all four dwords.	Decode vector, decode float, overwrite local +4, allocate, copy four dwords, publish out.	No arity/type/null guards are local. Allocation failure stores null in out.	VM vector getter; VM float getter; 0x00534DF3 -> 0x005490E0 allocator.	-	VM naming of the fourth lane, authored NaN behavior, and original handler spelling.	Pass four distinct dword sentinels plus a replacement float and compare the returned 20-byte wrapper byte-for-byte.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SetY	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	7672fe0c132d8e0f4946060220e6a9891303c4d30f7f1141f75177e51d5c5c6e	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
64	GetSafePos	0x005350b0	D_VECTOR_NUMERIC	0	No script arguments. Uses target flags+0x34 bit 0x10 and, when set, target primary vslot 110 (+0x1B8) with a local 16-byte output buffer.	vector	0x005e4da4	Initializes only local x/y/z to zero. On the flagged path it calls slot 110, dereferences the returned pointer, and copies four dwords. On the unflagged path it boxes x=y=z=0 plus an uninitialized fourth stack dword.	Zero three dwords; optional dynamic slot call and returned-pointer copy; allocate and box four dwords.	The slot return pointer is unguarded. Allocation failure stores null in out. The unflagged fourth dword is stack residue, not a demonstrated zero.	Target primary slot 110, whose shared base body writes a zero vector but whose original behavior name and overrides remain open; allocator at 0x00535116.	-	Original slot-110 identity, reachable overrides, meaning of the fourth lane, and whether authored callers ever observe the unflagged residue.	Invoke flagged and unflagged copied targets with stack canaries; trace slot-110 target/return pointer and capture the exact 16 result bytes.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetSafePos	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	fd576bbb3edca25d25ddf6fb8e00c015453ea13d9e075757448f4e95f02cbc8c	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
67	GetFloatRand	0x00538290	D_VECTOR_NUMERIC	0	No script arguments. Uses random-stream pointer global 0x008A9D9C.	float	0x005e4ea4	Consumes one Random__NextLCGAbs result before allocation. That helper sign-normalizes a negative generated state before returning. The wrapper's signed remainder-by-65536 sequence therefore receives a normal nonnegative value, yielding remainder 0..65535 and a nonnegative fraction in [0,1) after multiplication by 1/65536.	Advance and sign-normalize RNG result; allocate wrapper; only on allocation success compute remainder/scale and publish.	Allocation failure stores null but still consumes one RNG value. A negative remainder is not a normal helper result; the copied-runtime questions are seed/replay policy and allocation-order continuity, not a negative output branch.	0x00538298 -> 0x004DE8D0 Random__NextLCGAbs; allocator at 0x005382B2.	SRC_GAME_FLOAT_RANDOM	Initial seed/replay policy, exact low-bit distribution, allocation-failure gameplay consequence, and original handler spelling.	Seed a copied stream, capture consecutive helper integers and wrapper bits, assert each normal wrapper lies in [0,1), then force allocation failure and verify the following successful call skips exactly one value.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetFloatRand	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	53fe5c6002280969641cf01977171411bf7d5bef4b437706df49d01267a262a7	CORRECTED_AUDIT_FINDING	HELPER_SIGN_NORMALIZES;NONNEGATIVE_REMAINDER_FRACTION
71	IsEnemy	0x00538060	E_TARGET_QUERIES	0	No script arguments. Reads target flags+0x34 and target+0x138.	bool	0x005e4d50	Returns true exactly when flag bit 0x10 is set and target+0x138 equals integer 1; otherwise false. Pinned allegiance enum value 1 is Muspell, but the handler performs no relation-to-caller comparison.	Flag test; conditional field compare; one of two allocation sites boxes literal 1 or 0.	No target null guard. Allocation failure stores null in either branch.	Allocator at the true branch 0x00538085 or false branch 0x005380BF.	SRC_ALLEGIANCE_ENUM	Authoritative mapping of target+0x138 for every receiver, player-relative allegiance rules, and original handler spelling.	Probe copied targets with flag clear/set and field values 0..2 under both player allegiances; verify the function remains the literal field==1 test.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__IsEnemy	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	b4beeb920639898abd8239c01ccf3a05bf3d4ea0e2cfb47e907ca08ce9864061	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
89	GetAngle	0x00534680	D_VECTOR_NUMERIC	1	argv[0] thing pointer via slot 0x40; the getter is called twice. Uses context target position +0x1C/+0x20 and orientation fields +0x40/+0x50.	float	0x005e4ea4	Defaults to 0. When the first lookup is nonnull, computes facing=-atan2(target+0x40,target+0x50) and bearing=-atan2(arg.x-target.x,arg.y-target.y), wraps the cross-boundary case at +/-pi, then returns abs(facing-bearing)*180/pi.	First thing lookup as guard; second independent lookup; position/orientation reads and x87 atan/wrap arithmetic; allocation and boxing.	A null first lookup returns boxed 0. A null or changed second lookup is immediately dereferenced. Allocation failure stores null in out. NaN comparisons follow visible x87 unordered branches.	Two VM thing getters; 0x00534735 -> 0x005490E0 allocator.	-	Why the getter is repeated, exact orientation convention name, concurrency/reentrancy of the getter, and original handler spelling.	Use a getter instrument that returns stable, null-first, and null-second values; probe collinear, opposite, and quarter-turn geometry and compare raw degree bits.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__GetAngle	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	bf9382a5d9bb1eca0e6cd87c1aa597409f8d1648068848c1f422852f76a132ec	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
93	SpawnersInUse	0x00535af0	E_TARGET_QUERIES	0	No script arguments. Requires target flags+0x34 bit 0x10.	bool	0x005e4d50	Returns false when the gate is clear. Otherwise 0x004FD7A0 walks the linked entries rooted at target+0x18C and returns true when any entry has nonzero field +0x3EC; empty/no-match is false.	Default false; optional list predicate; canonicalize to one byte; allocate bool wrapper; publish out.	No cycle or corrupt-node guard is visible in the list walk. Allocation failure stores null after the scan.	0x00535AFC -> 0x004FD7A0 CUnit__HasAnyInBlockedSupportState -> 0x004E4420 field+0x3EC predicate; allocator at 0x00535B16.	-	Concrete meaning of the +0x18C list and +0x3EC field, why the registry label broadens that predicate, and original handler spelling.	Construct copied empty, all-zero, one-nonzero, and cyclic list cases; capture traversal order and returned byte without treating the registry label as field identity.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__SpawnersInUse	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	175b1ad8c19aa26bbb2478f8376394871d61142da9951b72e63be64a6a8d163f	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
95	Stop	0x00534f30	B_TARGET_ACTIONS	0	No script arguments. Uses the context target without a type-flag gate and copies its 16 bytes at +0x1C..+0x2B.	none	-	Calls target primary vslot 61 (+0xF4) with the current 16-byte position by value and override flag 0. Slot evidence identifies GoToPoint(FVector,false), not CActor::Stop.	Copy current position, push false override, then dynamic GoToPoint-slot call.	No target/type/null guard. Behavior depends on the concrete slot-61 override; the CComplexThing base implementation is a no-op.	Target primary slot 61, source-correlated GoToPoint(FVector,BOOL).	SRC_THING_GOTOPOINT_STOP_SEPARATE;SRC_ACTOR_STOP_NOT_CALLED	Reachable concrete GoToPoint overrides and whether their current-position request stops motion in every authored case.	For each reachable target vtable in a copied runtime, trace slot 61 and compare velocity/path state after GoToPoint(currentPosition,false); contrast direct CActor::Stop.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__Stop	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	b4dbb4c2d329df0aa31972b49b4d5288c55e776cee334091cf358b2664152ae3	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
96	Deploy	0x00534f70	B_TARGET_ACTIONS	0	No script arguments. Requires target flags+0x34 bit 0x10.	none	-	Calls 0x004FDE30. That callee acts only when target+0x244==0: it writes 3, resolves the 'deploying' animation through target+0x30 interface slot 9, finds its animation index, and calls target primary slot 60.	Wrapper flag gate; callee state==0 gate; state write 0->3; mesh/animation resolution; SetAnimMode-slot dispatch.	Failed wrapper or state gate is silent. The callee locally assumes nonnull target+0x30 and returned mesh; animation lookup failure propagation is not guarded.	0x00534F79 -> 0x004FDE30 CUnit__BeginDeployAnimationIfIdle -> interface slot 9, CMesh animation lookup, target slot 60.	-	Exact state-enum names for +0x244, reachable receiver classes, animation failure behavior, and original handler spelling.	Probe copied targets at +0x244 values 0 and nonzero while tracing the animation name/index and slot-60 arguments.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__Deploy	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	712daa149fc2645abbcafb6cf25733da1db782157d7b3588fdcaefba1255d251	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
97	Undeploy	0x00534f90	B_TARGET_ACTIONS	0	No script arguments. Requires target flags+0x34 bit 0x10.	none	-	Calls 0x004FDE70. That callee acts only when target+0x244==4: it writes 5, resolves the 'undeploying' animation through target+0x30 interface slot 9, finds its animation index, and calls target primary slot 60.	Wrapper flag gate; callee state==4 gate; state write 4->5; mesh/animation resolution; SetAnimMode-slot dispatch.	Failed wrapper or state gate is silent. The callee locally assumes nonnull target+0x30 and returned mesh; animation lookup failure propagation is not guarded.	0x00534F99 -> 0x004FDE70 CWarspite__TransitionToUndeploying -> interface slot 9, CMesh animation lookup, target slot 60.	-	Whether the concrete owner is always Warspite, exact +0x244 state names, animation failure behavior, and original handler spelling.	Probe copied targets at +0x244 values 4 and non-4 while tracing receiver vtable, animation name/index, and slot-60 arguments.	C1_CANDIDATE_PARTIAL	STATIC_BEHAVIOR	IScript__Undeploy	REGISTRY_DERIVED_TIER2_ONLY	OPEN_NOT_CLAIMED	void __thiscall handler(void *iscriptShape, CDataType **argv, uint32_t argCount, CDataType **out)	The receiver is only an IScript-shaped owner (commonly exposing the target at +0x10); the exact C++ type is open. IScriptContext* is not promoted.	661ee1f349b380671ab2b6ddb9ab1b725fdc6bc4eb37affc631cfdb545ffde82	UNCHANGED_FROM_PINNED_SEMANTIC_REPLAY	-
