retail_va	demo_va	retail_current_name	semantic_label	abi_placement	body_bytes	instruction_count	raw_diff_instruction_count	normalized_diff_instruction_count	semantic_status	evidence_boundary
0x0040c180	0x0040c230	HYP__CBattleEngine__HandleEvent	CBattleEngine::HandleEvent	primary:0	350	93	16	0	SOURCE_BODY	Source event dispatcher including death/pause and fade event handling
0x0040c380	0x0040c430	CBattleEngine__VFunc_117_0040c380	CBattleEngine::GetCurrentWeapon	primary:117	31	6	1	0	SOURCE_BODY	Mode 3 selects jet part; all other modes select walker part exactly as source
0x0040c720	0x0040c7d0	CBattleEngine__ResetAndSetActiveReader	CBattleEngine::DeclareOnObject	primary:70	38	14	3	0	SOURCE_BODY	Mesh-state fixup standing-object reader write and superclass callback match pinned source
0x0040c750	0x0040c800	CBattleEngine__VFunc_68_0040c750	CBattleEngine::DeclareOnGround	primary:68	564	189	16	0	SOURCE_BODY	Ground collision dash exemption impact damage and jet damping match pinned source
0x0040c990	0x0040ca40	HYP__CBattleEngine__GetLaunchPosition	CBattleEngine::GetLaunchPosition	primary:75	1888	483	36	0	SOURCE_BODY	Cockpit emitter fallback auto-aim and ballistic launch-position owner matches pinned source
0x0040d530	0x0040d5e0	CBattleEngine__VFunc_36_0040d530	CBattleEngine::Render	primary:36	126	32	7	0	SOURCE_BODY	Stealth alpha/cloaked flag first-person visibility gate render call and alpha reset match source
0x0040dc30	0x0040dce0	HYP__CBattleEngine__EnableWeapon	CBattleEngine::EnableWeapon	primary:102	37	13	1	0	SOURCE_BODY	Forwards the named weapon enable to walker and jet parts
0x0040dc60	0x0040dd10	HYP__CBattleEngine__DisableWeapon	CBattleEngine::DisableWeapon	primary:103	37	13	1	0	SOURCE_BODY	Forwards the named weapon disable to walker and jet parts
0x0040df80	0x0040e030	CBattleEngine__VFunc_16_0040df80	CBattleEngine::GetRadius	primary:16	28	8	4	0	SOURCE_BODY	Returns 1.0f multiplayer and 0.4f single-player exactly as source
0x0040dfa0	0x0040e050	CBattleEngine__VFunc_48_0040dfa0	CBattleEngine::COfGHeight	primary:48	7	2	1	0	SOURCE_BODY	Returns the exact BATTLE_ENGINE_COFGHEIGHT source constant
0x0040e7d0	0x0040e880	CBattleEngine__VFunc_104_0040e7d0	CBattleEngine::CanBeLocked	primary:104	99	35	3	0	SOURCE_BODY	Exact stealth jet-loop/roll and walker-special-move rejection gates
0x0040e8e0	0x0040e990	CBattleEngine__IsNearGroundByTerrainProbe	CBattleEngine::GetThreat	primary:79	47	15	5	0	SOURCE_BODY	Terrain height minus 2.0f comparison returns 5.0f or zero exactly as source
0x0040e910	0x0040e9c0	CBattleEngine__GetGroundedControlFactor	CBattleEngine::GetImportance	primary:80	42	16	3	0	SOURCE_BODY	On-ground and not-on-object gate returns 5.0f or zero exactly as source
0x0040eeb0	0x0040ef60	HYP__CBattleEngine__FinishedPlayingCurrentAnimation	CBattleEngine::FinishedPlayingCurrentAnimation	primary:59	110	43	8	0	SOURCE_BODY	Transitions flytowalk/walktofly animation modes and always returns false as pinned source
