id	severity	domain	file	issue	proposed_change	evidence_refs	owner	validation_step
FX-011	HIGH	roadmap-docs	roadmap/app-validation-checklist.md; roadmap/app-delivery-phases.md	Validation gate docs omit active Python binary patch regression module	Add tests_pyqt/test_binary_patches_unittest.py to required Python gate command sequences	subagents/depth2/lane01_canonical_docs_contradictions.md:32-48	main-agent	rg -n "test_binary_patches_unittest.py" roadmap/app-validation-checklist.md roadmap/app-delivery-phases.md
FX-012	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Top-level canonical index guidance is optional and incomplete	Update skill text to mandate RE-INDEX.md, LORE-INDEX.md, and ROADMAP-INDEX.md as canonical top-level indexes	subagents/depth2/lane03_skill_drift_findings.md:43-53; AGENTS.md:360	main-agent	rg -n "RE-INDEX.md|LORE-INDEX.md|ROADMAP-INDEX.md|canonical" /home/dlprentice/.codex/skills/documentation-standards/SKILL.md
FX-013	HIGH	skill-docs	/home/dlprentice/.codex/skills/documentation-standards/SKILL.md	Skill README policy conflicts with repo compatibility stance	Revise policy to _index.md canonical with folder README allowed for compatibility if kept synchronized	subagents/depth2/lane03_skill_drift_findings.md:54-63; AGENTS.md:361	main-agent	rg -n "_index.md|README|compatibility" /home/dlprentice/.codex/skills/documentation-standards/SKILL.md
FX-014	MEDIUM	roadmap-docs	roadmap/gui-expansion.md	Project-structure snippet is stale and references missing or nonexistent modules	Refresh structure block to current modules and remove absent placeholders such as hex_viewer.py and media_controls.py	subagents/depth2/lane01_canonical_docs_contradictions.md:16-30	main-agent	rg -n "binary_patches.py|settings.py|binary_patches.py|save_selector.py|hex_viewer.py|media_controls.py" roadmap/gui-expansion.md
FX-015	MEDIUM	lore-roadmap-docs	lore-book/roadmap/re-investigation.md	Roadmap wording treats defaultoptions.bea as only a template	Replace template framing with baseline or snapshot semantics and overwrite-side-effect wording	subagents/depth2/lane09_dataflow_semantics_validation.md:48-61	main-agent	rg -n "template|baseline|snapshot" lore-book/roadmap/re-investigation.md
FX-016	MEDIUM	gui-copy	Views/SaveEditorView.xaml; onslaught/gui/tabs/save_editor.py; Views/SaveEditorView.xaml.cs	UI text over-prescribes direct defaultoptions patching without load/save sync nuance	Update UX copy to note load/save flows may sync .bes to defaultoptions for next boot and restart requirements	subagents/depth2/lane09_dataflow_semantics_validation.md:62-80	main-agent	rg -n "defaultoptions.bea|load/save|next boot|restart" Views/SaveEditorView.xaml onslaught/gui/tabs/save_editor.py Views/SaveEditorView.xaml.cs
FX-017	MEDIUM	docs	CURRENT_CAPABILITIES.md	Options-tail documentation still says mapping is only partial	Update wording to largely mapped 0x56 tail with unknown or reserved fields explicitly preserved	subagents/depth2/lane09_dataflow_semantics_validation.md:82-91	main-agent	rg -n "Tail snapshot mapping|0x56|unknown|reserved" CURRENT_CAPABILITIES.md
FX-018	MEDIUM	gui-parity	Views/SaveEditorView.xaml.cs; onslaught/gui/tabs/save_editor.py	Configuration in-place patch policy diverges across C# and Python	Align behavior across stacks or explicitly document intentional divergence; preferred fix is safe in-place with confirm plus backup on Python	subagents/depth2/lane04_gui_parity_validation.md:34	main-agent	dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~SaveEditorDefaults" && python3 -m unittest -v tests_pyqt.test_save_editor_defaults_unittest
FX-019	MEDIUM	gui-parity	MainWindow.xaml.cs; onslaught/gui/main_window.py	Nested-tab status text behavior diverges between WPF and PyQt	Define and implement one status contract for nested tab changes across both shells	subagents/depth2/lane04_gui_parity_validation.md:35	main-agent	rg -n "tab active|Status" MainWindow.xaml.cs onslaught/gui/main_window.py
FX-020	MEDIUM	gui-parity	MainWindow.xaml; MainWindow.xaml.cs; onslaught/gui/main_window.py	Global menu actions exist only in Python shell	Add equivalent menu actions to WPF or remove and document intentional asymmetry	subagents/depth2/lane04_gui_parity_validation.md:36	main-agent	rg -n "Open|Analyze|Compare|About|Menu" MainWindow.xaml MainWindow.xaml.cs onslaught/gui/main_window.py
FX-021	MEDIUM	gui-performance	Views/LoreBrowserView.xaml.cs; onslaught/gui/tabs/lore_browser.py	Lore tab loading strategy diverges lazy vs eager	Choose one strategy and align implementations; preferred approach is lazy load in both shells	subagents/depth2/lane04_gui_parity_validation.md:37	main-agent	rg -n "_load_lore_tree|ILazyLoadView|lazy" Views/LoreBrowserView.xaml.cs onslaught/gui/tabs/lore_browser.py
FX-022	MEDIUM	binary-patch-ux	patches/README.md; Views/BinaryPatchesView.xaml; onslaught/gui/tabs/binary_patches.py; patches/patch_display_mode_flow.py	Stable vs experimental track taxonomy is not explicit in patch tooling and docs	Introduce explicit Stable and Experimental labels, guardrails, and rollout notes in UI/help/docs	subagents/depth2/lane06_binary_patch_gap_findings.md:50-62; subagents/depth2/lane06_binary_patch_gap_findings.md:124-126	main-agent	rg -n "Stable|Experimental|Track" patches/README.md Views/BinaryPatchesView.xaml onslaught/gui/tabs/binary_patches.py patches/patch_display_mode_flow.py
FX-023	MEDIUM	companion-tools	tools/; reverse-engineering/game-assets/modding-reference.md	Cardid and extra-graphics scope is doc-only with no integrated tooling lane	Add a managed cardid.txt preset generator or merger with backup and restore workflow as a stable companion lane	subagents/depth2/lane06_binary_patch_gap_findings.md:63-75; subagents/depth2/lane06_binary_patch_gap_findings.md:120	main-agent	python3 tools/cardid_preset_manager.py --dry-run --input game/cardid.txt --preset modern
FX-024	MEDIUM	docs	reverse-engineering/binary-analysis/functions/CLIParams.cpp/_index.md; reverse-engineering/binary-analysis/windowed-mode-analysis.md	Guard-default narrative is contradictory across docs	Normalize both docs to current-hash default 0x01 with historical-variant caveat	subagents/depth2/lane06_binary_patch_gap_findings.md:89-97	main-agent	rg -n "0x262F3E|0x01|0x00|historical variant" reverse-engineering/binary-analysis/functions/CLIParams.cpp/_index.md reverse-engineering/binary-analysis/windowed-mode-analysis.md
FX-025	MEDIUM	tests-binary-patch	patches/patch_display_mode_flow.py; tests_pyqt; OnslaughtCareerEditor.UiTests	Patch script mode coverage and C# patch coverage are incomplete	Add tests for resolution-only, windowed-only, skip-auto-toggle modes and C# apply or restore parity assertions	subagents/depth2/lane06_binary_patch_gap_findings.md:98-107; subagents/depth2/lane08_test_gap_priorities.md:20	main-agent	python3 -m unittest -v tests_pyqt.test_binary_patches_unittest && dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~BinaryPatch"
FX-026	MEDIUM	tests-config	tests_pyqt/test_config_commands_unittest.py; OnslaughtCareerEditor.UiTests	Config command and migration behavior lacks direct automated parity tests	Add isolated tests for list-saves, set-game-dir, show-config, migration, dedupe, and invalid path handling	subagents/depth2/lane08_test_gap_priorities.md:21	main-agent	python3 -m unittest -v tests_pyqt.test_config_commands_unittest
FX-027	MEDIUM	tests-keybind	tests_pyqt/test_keybind_overrides_unittest.py; OnslaughtCareerEditor.UiTests	Keybind parser end-to-end matrix coverage is insufficient	Add valid and invalid token matrix tests including MouseX or MouseY signs, wheel buttons, and packed vk or scan behavior	subagents/depth2/lane08_test_gap_priorities.md:22	main-agent	python3 -m unittest -v tests_pyqt.test_keybind_overrides_unittest
FX-028	MEDIUM	tests-gui	OnslaughtCareerEditor.UiTests; tests_pyqt	GUI smoke tests only verify tab labels and miss action-level regressions	Extend smoke to analyze, compare, patch gating, and binary patch button state transitions	subagents/depth2/lane08_test_gap_priorities.md:23; subagents/depth2/lane04_gui_parity_validation.md:27-29	main-agent	dotnet test OnslaughtCareerEditor.UiTests/OnslaughtCareerEditor.UiTests.csproj --filter "Name~Smoke" && pytest -q tests_pyqt/test_smoke.py
FX-029	MEDIUM	tests-reporting	OnslaughtCareerEditor.UiTests; tests_pyqt	Analyze and compare output structure contracts are not regression-tested	Add snapshot or structural tests for required report sections and key summary markers across both stacks	subagents/depth2/lane08_test_gap_priorities.md:24	main-agent	python3 -m unittest -v tests_pyqt.test_cli_readonly_modes_unittest
FX-030	MEDIUM	tests-docs	tests_pyqt/test_docs_parity_unittest.py	No automated lint for roadmap and validation-checklist contradiction drift	Add docs consistency checks for parity claims and required test module coverage in validation docs	subagents/depth2/lane08_test_gap_priorities.md:25-26	main-agent	python3 -m unittest -v tests_pyqt.test_docs_parity_unittest
FX-031	MEDIUM	release-policy	AGENTS.md; roadmap/; release runbook script (new)	Public include and exclude policy is not codified as enforceable release profile	Codify allowlist-first policy with R0-R4 classification and explicit gates for conditional families	subagents/depth2/lane07_release_risk_classification.md:11-19; subagents/depth2/lane07_release_risk_classification.md:55-74	main-agent	rg -n "R0|R1|R2|R3|R4|allowlist" AGENTS.md roadmap
FX-032	MEDIUM	release-policy	release packaging script or runbook (new)	High-risk families can leak into public snapshots without automated denylist enforcement	Add release packaging denylist for game, media, scratch, save-attempts, state files, subagents, and audit artifacts	subagents/depth2/lane07_release_risk_classification.md:75-96; subagents/depth2/lane07_release_risk_classification.md:128-134	main-agent	./tools/release_package.sh --dry-run | rg -n "game/|media/|save-attempts/|subagents/|_state.json"
FX-033	MEDIUM	modernization-stability	reverse-engineering/binary-analysis/display-modernization-plan.md; wrapper integration docs and scripts	Modernization path lacks explicit defaultoptions drift detection despite known rewrite side effects	Add post-load drift detection and baseline reapply policy to wrapper-profile integration workflow	subagents/depth2/lane10_modernization_feasibility_findings.md:50-52; subagents/depth2/lane10_modernization_feasibility_findings.md:86-92	main-agent	rg -n "drift|defaultoptions|reapply" reverse-engineering/binary-analysis/display-modernization-plan.md
FX-034	MEDIUM	modernization-testing	modernization runbook and validation checklist	No fixed GPU or driver compatibility matrix exists for staged modernization rollout	Define minimal matrix for NVIDIA, AMD, Intel across two driver eras and add deterministic smoke checklist capture	subagents/depth2/lane10_modernization_feasibility_findings.md:116-117	main-agent	rg -n "NVIDIA|AMD|Intel|driver|matrix" reverse-engineering/binary-analysis/display-modernization-plan.md
FX-035	LOW	lore-mirror	lore/_index.md; lore-book/lore/_index.md	Mirror path normalization differences produce parity noise alerts	Document allowed relative-link rewrite rule for mirror files and exclude from contradiction severity	subagents/depth2/lane02_lore_mirror_contradictions.md:16-23	main-agent	rg -n "allowed mirror rewrite|path normalization" lore/_index.md lore-book/lore/_index.md
FX-036	LOW	cli-output	Program.cs; patcher.py	Invalid typed numeric argument errors surface at different validation stages	Harmonize parse or validation error contract or document intentional stage differences for automation consumers	subagents/depth2/lane05_cli_parity_validation.md:46-50	main-agent	python3 patcher.py save-attempts/haha-cannon-goes-brrrrr.bes out.bes --controller-config-p1 -1; "/mnt/c/Program Files/dotnet/dotnet.exe" run --project "Onslaught - Career Editor.csproj" -- save-attempts/haha-cannon-goes-brrrrr.bes out.bes --controller-config-p1 -1
FX-037	LOW	cli-output	Program.cs; patcher.py	Failure stdout shape differs for copy-options conflict	Align failure output contract so fatal validation exits do not emit divergent preamble noise	subagents/depth2/lane05_cli_parity_validation.md:52-54	main-agent	python3 patcher.py save-attempts/haha-cannon-goes-brrrrr.bes out.bes --copy-options-from save-attempts/haha-cannon-goes-brrrrr.bes --no-copy-options-entries --no-copy-options-tail
FX-038	LOW	cli-output	Program.cs; patcher.py	Analyze and compare output wording differs even when semantics match	Define shared output markers and enforce with snapshot or marker tests to reduce parser brittleness	subagents/depth2/lane05_cli_parity_validation.md:56-58	main-agent	python3 patcher.py --analyze save-attempts/haha-cannon-goes-brrrrr.bes && "/mnt/c/Program Files/dotnet/dotnet.exe" run --project "Onslaught - Career Editor.csproj" -- --analyze save-attempts/haha-cannon-goes-brrrrr.bes
FX-039	LOW	cli-output	AppConfig.cs; onslaught/core/config.py; Program.cs; patcher.py	Show-config output varies by runtime roots and can be misread as parity break	Document environment-scoped expectations and compare semantic fields instead of absolute paths in parity checks	subagents/depth2/lane05_cli_parity_validation.md:60-62	main-agent	python3 patcher.py --show-config && "/mnt/c/Program Files/dotnet/dotnet.exe" run --project "Onslaught - Career Editor.csproj" -- --show-config
FX-040	LOW	modernization-doc	reverse-engineering/binary-analysis/display-modernization-plan.md	D3D8 to D3D9 pilot wording is likely stale for current D3D9 retail binary	Annotate d3d8to9 references as historical or non-applicable unless revalidated for current retail hash	subagents/depth2/lane10_modernization_feasibility_findings.md:36-38	main-agent	rg -n "d3d8to9|historical|retail hash|D3D9" reverse-engineering/binary-analysis/display-modernization-plan.md
