stable_key	status	retail_classification	retail_va	retail_analog	evidence	boundary	falsifier
d3dapp.h:202:CD3DApplication::ForceToWindow:ForceToWindow()	RETAIL_UNRESOLVED	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.cpp:1166:Vert::FVF:FVF()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The local Vert::FVF definition is inside the TARGET == XBOX block beginning at DXEngine.cpp:1124.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
DXEngine.h:60:CDXEngine::GetScreenTexture:*GetScreenTexture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.h:61:CDXEngine::TriggerScreenCapture:TriggerScreenCapture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.h:62:CDXEngine::TriggerPartialScreenCapture:TriggerPartialScreenCapture(int top,int bottom)	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.h:69:CDXEngine::GetOutlineTexture:* GetOutlineTexture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.h:70:CDXEngine::GetOpaqueTexture:* GetOpaqueTexture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
DXEngine.h:83:CDXEngine::SetDefaultMaterial:SetDefaultMaterial()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
EditorD3DApp.h:178:CEditorD3DApp::ConfirmDevice:ConfirmDevice(D3DCAPS8*,DWORD,D3DFORMAT)	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:179:CEditorD3DApp::OneTimeSceneInit:OneTimeSceneInit()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:180:CEditorD3DApp::InitDeviceObjects:InitDeviceObjects()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:181:CEditorD3DApp::RestoreDeviceObjects:RestoreDeviceObjects()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:182:CEditorD3DApp::FrameMove:FrameMove()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:183:CEditorD3DApp::Render:Render()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:184:CEditorD3DApp::InvalidateDeviceObjects:InvalidateDeviceObjects()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:185:CEditorD3DApp::DeleteDeviceObjects:DeleteDeviceObjects()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:186:CEditorD3DApp::FinalCleanup:FinalCleanup()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:198:CEditorD3DApp::GetHWnd:GetHWnd()	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
EditorD3DApp.h:199:CEditorD3DApp::SetHWnd:SetHWnd(HWND hwnd)	NOT_SELECTED_TARGET	NOT_IN_RETAIL			references/Onslaught/engine.h;references/Onslaught/ltshell.h;references/Onslaught/DXEngine.cpp;reverse-engineering/source-code/stuart-source-synthesis.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	PCLTShell chooses CEditorD3DApp only under EDITORBUILD2; the retail player shell selects CD3DApplication.	A retail vtable/source-path/build-flag witness proving this exact alternate definition was selected falsifies the target exclusion.
engine.h:83:CEngine::ShutdownRestartLoop:ShutdownRestartLoop()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:116:CEngine::GetDefaultMesh:*GetDefaultMesh()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:117:CEngine::GetGlobalMesh:*GetGlobalMesh(SINT num)	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:119:CEngine::GetCamera:*GetCamera()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:120:CEngine::SetCamera:SetCamera(CCamera *c)	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:122:CEngine::ToggleDebugDraw:ToggleDebugDraw(ULONG num)	RETAIL_UNRESOLVED	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Multi-line/header body has no proven tracked target; inspect compiler emission/folding, callers, and ABI before classifying. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:125:CEngine::GetHitEffectTexture:*GetHitEffectTexture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:126:CEngine::GetCloakTexture:*GetCloakTexture()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:128:CEngine::ToggleParticles:ToggleParticles()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:129:CEngine::DebugNoParticles:DebugNoParticles()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:131:CEngine::GetDrawDebugStuff:GetDrawDebugStuff()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:135:CEngine::GetNearZ:GetNearZ()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:136:CEngine::GetFarZ:GetFarZ()	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
engine.h:137:CEngine::SetNearZ:SetNearZ( const float aNearZ )	SOURCE_ONLY	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.
