address	weak_name	doc_path	line	snippet
0x004e1360	CSoundManager__Unk_004e1360	reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md	141	| 0x00663070 | g_InvertXAxisFlag | BOOL | Negates X in FUN_004e1360 (invert flag) |
0x004e1360	CSoundManager__Unk_004e1360	reverse-engineering/save-file/save-format.md	428	| 0x40 | 4 | `g_InvertXAxisFlag` | Negates X component in FUN_004e1360 (invert flag) |
0x004e2c50	CUnit__Unk_004e2c50	reverse-engineering/binary-analysis/functions/FrontEnd.cpp/CFrontEnd__Init.md	154	| 0x004e2c50 | FUN_004e2c50 | Unknown (conditional) |
0x004e2c50	CUnit__Unk_004e2c50	reverse-engineering/binary-analysis/functions/FrontEnd.cpp/_index.md	103	| 0x00662f40 | DAT_00662f40 | If non-zero, calls FUN_004e2c50 during init |
0x004e8100	CSquadNormal__Unk_004e8100	reverse-engineering/binary-analysis/functions/SquadNormal.cpp/_index.md	104	- FUN_004e8100 - Unknown (called during Init)
0x004e83b0	CSquadNormal__Unk_004e83b0	reverse-engineering/binary-analysis/functions/SquadNormal.cpp/_index.md	105	- FUN_004e83b0 - Unknown (called during Init with param 1)
0x004f3110	CUnit__Unk_004f3110	reverse-engineering/binary-analysis/functions/DXTexture.cpp/_index.md	92	- `FUN_004f3110()` - Write output data (likely TGA export)
0x004f4480	CThing__Unk_004f4480	reverse-engineering/binary-analysis/functions/SphereTrigger.cpp/_index.md	55	- Calls parent class update via `FUN_004f4480`
0x004f4480	CThing__Unk_004f4480	reverse-engineering/binary-analysis/functions/SphereTrigger.cpp/_index.md	72	- `FUN_004f4480` - Parent class update (CTrigger::Update?)
0x004fd380	CUnit__Unk_004fd380	reverse-engineering/binary-analysis/functions/SpawnerThng.cpp/_index.md	102	- `FUN_004fd380` - Grid map access
0x005016b0	CEngine__Unk_005016b0	reverse-engineering/binary-analysis/functions/PCPlatform.cpp/_index.md	166	InitShaders();  // FUN_005016b0
0x005016b0	CEngine__Unk_005016b0	reverse-engineering/binary-analysis/functions/Platform.cpp/_index.md	276	- `FUN_005016b0` - Shader initialization
0x0050abc0	CWorld__Unk_0050abc0	reverse-engineering/binary-analysis/functions/thing.cpp/_index.md	100	- Looks up sound via FUN_0050abc0 (sound name lookup)
0x0050abc0	CWorld__Unk_0050abc0	reverse-engineering/binary-analysis/functions/thing.cpp/_index.md	156	- FUN_0050abc0 - Sound name lookup (in SetSound)
0x0050b010	CWorld__Unk_0050b010	reverse-engineering/binary-analysis/functions/WarspiteDome.cpp/_index.md	68	8. Call `FUN_0050b010()` - additional initialization
0x00512490	CVBufTexture__Unk_00512490	reverse-engineering/binary-analysis/functions/Platform.cpp/PLATFORM__Process.md	14	- Repeatedly calls system handling helper (`FUN_00512490`) until no more work is pending.
0x00512490	CVBufTexture__Unk_00512490	reverse-engineering/binary-analysis/functions/Platform.cpp/_index.md	153	// Repeatedly pumps system work (FUN_00512490)
0x00512ca0	CVBufTexture__Unk_00512ca0	reverse-engineering/binary-analysis/functions/VertexShader.cpp/_index.md	30	- Calls `FUN_00512ca0` (likely base class initialization)
0x00512ca0	CVBufTexture__Unk_00512ca0	reverse-engineering/binary-analysis/functions/texture.cpp/_index.md	93	|     +-> FUN_00512ca0 (unknown)
0x00527da0	CVBufTexture__Unk_00527da0	reverse-engineering/binary-analysis/functions/DXBattleLine.cpp.md	289	| 0x00527da0 | FUN_00527da0 | Apply stencil settings |
0x0052bb80	CD3DApplication__Unk_0052bb80	reverse-engineering/binary-analysis/functions/FEPOptions.cpp/CFEPOptions__WriteDefaultOptionsFile.md	43	- If `DAT_0082b5b0 != 0`, clears it and triggers `FUN_0052bb80(1,1)`.
0x0052bb80	CD3DApplication__Unk_0052bb80	reverse-engineering/binary-analysis/functions/Platform.cpp/_index.md	53	//   FUN_0052bb80(1,1);
0x0052bb80	CD3DApplication__Unk_0052bb80	reverse-engineering/binary-analysis/functions/Platform.cpp/_index.md	265	- `FUN_0052bb80` - Unknown (1,1 params)
0x0052c430	CD3DApplication__Unk_0052c430	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	112	FUN_0052c430();  // Final cleanup
0x0052c430	CD3DApplication__Unk_0052c430	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	190	- Final Cleanup: `FUN_0052c430`
0x0052ff30	CEngine__Unk_0052ff30	reverse-engineering/save-file/struct-layouts.md	281	- Command strings `GetSlot` / `SetSlot` / `SetSlotSave` (`0x0064f338` / `0x0064f340` / `0x0064f2c0`) are registered in `FUN_0052ff30`.
0x005438c0	CDXEngine__Unk_005438c0	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	168	4. Runtime Rendering (FUN_005438c0)
0x00548f90	CDXEngine__Unk_00548f90	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	66	FUN_00548f90(heapSize);  // Initialize memory manager
0x00548f90	CDXEngine__Unk_00548f90	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	182	- `CMemoryManager::Init` (0x004a13b0) via FUN_00548f90
0x00548f90	CDXEngine__Unk_00548f90	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	185	- Memory Manager: `FUN_00548f90`
0x00549570	CDXEngine__Unk_00549570	reverse-engineering/binary-analysis/functions/MeshRenderer.cpp/_index.md	51	- Normal path: Calls `FUN_00549570()` for standard mesh rendering
0x00549570	CDXEngine__Unk_00549570	reverse-engineering/binary-analysis/functions/MeshRenderer.cpp/_index.md	75	- `FUN_00549570()` - Main mesh draw call
0x0054b800	CDXEngine__Unk_0054b800	reverse-engineering/binary-analysis/GHIDRA-REFERENCE.md	1065	| 0x004de860 | CHudComponent__RenderPass | Per-component render/update helper (iterates sub-item table and dispatches through `FUN_0054b800`) |
0x0054b800	CDXEngine__Unk_0054b800	reverse-engineering/binary-analysis/functions/Hud.cpp/_index.md	116	- Iterates count at `+0x15C`, dispatching each entry through `FUN_0054b800(entry, this, 0)`.
0x0054b800	CDXEngine__Unk_0054b800	reverse-engineering/binary-analysis/functions/_index.md	135	| 0x004de860 | CHudComponent__RenderPass | Per-component render/update pass (iterates sub-item table, calls `FUN_0054b800`) |
0x0055f2e8	CTexture__Unk_0055f2e8	reverse-engineering/binary-analysis/functions/FEPOptions.cpp/_index.md	107	3. Checks for duplicates via FUN_0055f2e8
0x005be628	CFastVB__Unk_005be628	reverse-engineering/binary-analysis/functions/VertexShader.cpp/_index.md	133	- `FUN_005be628` - HRESULT to string conversion
